467,Краснознаменск,Калининградская область,Северо-Западный,3522,1576
468,Краснознаменск,Московская область,Центральный,36057,1952
469,Краснокаменск,Забайкальский край,Сибирский,55668,1967
470,Краснокамск,Пермский край,Приволжский,52632,1929
471,Красноперекопск,Крым,Южный,26268,1932
472,Краснослободск,Волгоградская область,Южный,16007,1870
473,Краснослободск,Мордовия,Приволжский,10151,1571
474,Краснотурьинск,Свердловская область,Уральский,59701,1758
475,Красноуральск,Свердловская область,Уральский,24973,1925
476,Красноуфимск,Свердловская область,Уральский,39765,1736
477,Красноярск,Красноярский край,Сибирский,973826,1628
478,Красный Кут,Саратовская область,Приволжский,14420,1837
479,Красный Сулин,Ростовская область,Южный,40866,1797
480,Красный Холм,Тверская область,Центральный,5608,1518
481,Кремёнки,Калужская область,Центральный,11617,18 век
482,Кропоткин,Краснодарский край,Южный,80743,1879
483,Крымск,Краснодарский край,Южный,57370,1862
484,Кстово,Нижегородская область,Приволжский,66641,15 век
485,Кубинка,Московская область,Центральный,22918,15 век
486,Кувандык,Оренбургская область,Приволжский,26176,19 век
487,Кувшиново,Тверская область,Центральный,10008,1910
488,Кудрово,Ленинградская область,Северо-Западный,13501[4],1926
489,Кудымкар,Пермский край,Приволжский,30711,1579
490,Кузнецк,Пензенская область,Приволжский,88886,1699
491,Куйбышев,Новосибирская область,Сибирский,47278,1722
492,Кукмор,Татарстан,Приволжский,17700[6],1741
493,Кулебаки,Нижегородская область,Приволжский,35762,1677-1678
494,Кумертау,Башкортостан,Приволжский,62854,1947
495,Кунгур,Пермский край,Приволжский,67857,1663
496,Купино,Новосибирская область,Сибирский,15448,1886
497,Курган,Курганская область,Уральский,333640,1679
498,Курганинск,Краснодарский край,Южный,47974,1855
499,Курильск,Сахалинская область,Дальневосточный,2070,18 век
500,Курлово,Владимирская область,Центральный,6791,1811
501,Куровское,Московская область,Центральный,21821,1646
502,Курск,Курская область,Центральный,414595,1032
503,Куртамыш,Курганская область,Уральский,17098,1745
504,Курчалой,Чечня,Северо-Кавказский,22723,2018
505,Курчатов,Курская область,Центральный,42691,1968
506,Куса,Челябинская область,Уральский,18792,1778
507,Кушва,Свердловская область,Уральский,33027,1735
508,Кызыл,Тыва,Сибирский,109906,1914
509,Кыштым,Челябинская область,Уральский,38950,1757
510,Кяхта,Бурятия,Сибирский,20013,1727
511,Лабинск,Краснодарский край,Южный,62822,1841
512,Лабытнанги,Ямало-Ненецкий АО,Уральский,26948,1890
513,Лагань,Калмыкия,Южный,14323,1870
514,Ладушкин,Калининградская область,Северо-Западный,3788,1314
515,Лаишево,Татарстан,Приволжский,7735,1557
516,Лакинск,Владимирская область,Центральный,15707,15 век
517,Лангепас,Ханты-Мансийский АО — Югра,Уральский,41675,1980
